category_code,founded_at,country_code,funding_rounds,funding_total_usd,milestones,relationships,isClosed,Active_Days
web,2011,USA,1.0,3652913.0,2.0,4.0,1,3650.0
mobile,2011,USA,2.0,21189.0,1.0,2.0,0,730.0
advertising,2011,RUS,1.0,3652913.0,1.0,1.0,1,3650.0
software,2005,GBR,1.0,3652913.0,1.0,8.0,1,5840.0
network_hosting,2007,USA,1.0,3652913.0,1.0,4.0,1,5110.0
consulting,2004,USA,1.0,3652913.0,1.0,2.0,1,6205.0
search,2008,IND,1.0,3652913.0,1.0,2.0,1,4745.0
transportation,2011,USA,2.0,1835000.0,1.0,8.0,1,3650.0
software,1998,USA,1.0,1000000.0,1.0,1.0,1,8395.0
mobile,2011,USA,1.0,895000.0,1.0,3.0,1,3650.0
web,2011,USA,1.0,3652913.0,1.0,1.0,1,3650.0
games_video,2011,AUS,1.0,3652913.0,1.0,2.0,1,3650.0
web,2003,GBR,1.0,3652913.0,1.0,2.0,1,6570.0
other,2008,GBR,1.0,3652913.0,1.0,1.0,1,4745.0
ecommerce,2007,USA,1.0,3652913.0,1.0,5.0,1,5110.0
web,2005,USA,1.0,3652913.0,1.0,1.0,1,5840.0
web,2011,USA,1.0,3652913.0,1.0,2.0,1,3650.0
web,2007,GBR,1.0,3652913.0,1.0,2.0,1,5110.0
games_video,2011,ISR,1.0,3652913.0,1.0,2.0,1,3650.0
software,2011,USA,1.0,3652913.0,2.0,3.0,1,3650.0
games_video,2007,UKR,1.0,3652913.0,1.0,1.0,1,5110.0
web,2003,GBR,1.0,3652913.0,1.0,5.0,1,6570.0
biotech,2007,GBR,3.0,3242399.0,1.0,2.0,1,5110.0
web,2008,USA,1.0,3652913.0,1.0,1.0,1,4745.0
web,2005,ISR,1.0,3652913.0,1.0,1.0,1,5840.0
mobile,2011,USA,1.0,3652913.0,1.0,1.0,1,3650.0
web,2001,AUS,1.0,3652913.0,1.0,5.0,1,7300.0
other,1948,USA,1.0,3652913.0,1.0,2.0,1,26645.0
software,2004,USA,1.0,1616176.0,1.0,2.0,1,6205.0
games_video,2001,JPN,1.0,3652913.0,2.0,1.0,1,7300.0
web,2011,USA,1.0,3652913.0,1.0,1.0,1,3650.0
other,2007,USA,1.0,50000.0,1.0,2.0,0,1825.0
other,2007,ITA,1.0,3652913.0,1.0,2.0,1,5110.0
analytics,2010,USA,3.0,2475000.0,1.0,2.0,1,4015.0
network_hosting,2005,TUR,1.0,3652913.0,1.0,1.0,1,5840.0
other,2011,USA,1.0,3652913.0,1.0,3.0,1,3650.0
ecommerce,2008,ESP,1.0,3652913.0,1.0,1.0,1,4745.0
consulting,1996,CAN,1.0,3652913.0,1.0,2.0,1,9125.0
search,2010,IND,1.0,3652913.0,1.0,1.0,1,4015.0
web,2004,NZL,1.0,3652913.0,1.0,1.0,1,6205.0
other,2006,USA,1.0,3652913.0,1.0,1.0,1,5475.0
medical,2008,GBR,1.0,952578.0,1.0,1.0,1,4745.0
search,2011,TUR,1.0,3652913.0,1.0,1.0,1,3650.0
web,2011,CZE,1.0,3652913.0,1.0,1.0,1,3650.0
software,2006,DNK,1.0,3652913.0,1.0,3.0,1,5475.0
games_video,2006,SWE,1.0,7385500.0,1.0,4.0,1,5475.0
other,2011,GBR,1.0,3652913.0,1.0,2.0,1,3650.0
mobile,2011,NLD,1.0,3652913.0,1.0,1.0,1,3650.0
web,2000,IRL,1.0,3652913.0,3.0,5.0,1,7665.0
web,2007,DEU,1.0,3652913.0,3.0,4.0,1,5110.0
software,2010,IND,1.0,3652913.0,1.0,1.0,1,4015.0
security,1999,USA,1.0,3652913.0,1.0,1.0,1,8030.0
web,2010,USA,1.0,3652913.0,2.0,5.0,1,4015.0
mobile,1999,NLD,1.0,3652913.0,2.0,6.0,1,8030.0
software,2011,USA,1.0,3652913.0,1.0,2.0,1,3650.0
mobile,2008,DEU,1.0,109018.0,1.0,2.0,1,4745.0
ecommerce,2011,USA,1.0,3652913.0,1.0,1.0,1,3650.0
medical,2009,USA,1.0,3652913.0,2.0,3.0,1,4380.0
web,2011,TUR,1.0,3652913.0,1.0,1.0,1,3650.0
security,2012,USA,1.0,1700000.0,2.0,7.0,1,3285.0
other,2010,USA,1.0,3652913.0,1.0,2.0,1,4015.0
games_video,2006,ISR,1.0,3652913.0,1.0,4.0,1,5475.0
consulting,2007,ARG,1.0,3652913.0,1.0,3.0,1,5110.0
ecommerce,2011,TUR,1.0,900000.0,1.0,3.0,1,3650.0
mobile,2011,USA,1.0,3652913.0,1.0,3.0,1,3650.0
advertising,2008,USA,1.0,50000.0,2.0,2.0,1,4745.0
ecommerce,2008,USA,1.0,3652913.0,1.0,6.0,1,4745.0
games_video,2010,USA,1.0,3652913.0,1.0,1.0,1,4015.0
advertising,2003,GBR,1.0,3652913.0,2.0,1.0,1,6570.0
consulting,2000,USA,1.0,3652913.0,1.0,4.0,1,7665.0
ecommerce,2009,USA,1.0,3652913.0,1.0,2.0,1,4380.0
web,2007,USA,1.0,3652913.0,2.0,4.0,1,5110.0
ecommerce,2007,USA,1.0,3652913.0,1.0,1.0,1,5110.0
ecommerce,2009,USA,1.0,8700000.0,2.0,5.0,1,4380.0
health,2008,USA,3.0,11510000.0,4.0,6.0,1,4745.0
ecommerce,2008,USA,1.0,3652913.0,1.0,2.0,1,4745.0
consulting,2006,ITA,1.0,3652913.0,1.0,3.0,1,5475.0
mobile,2011,USA,1.0,3652913.0,1.0,2.0,1,3650.0
web,2007,POL,1.0,3652913.0,1.0,1.0,1,5110.0
enterprise,2004,USA,1.0,3652913.0,1.0,2.0,1,6205.0
enterprise,2010,IND,1.0,3652913.0,1.0,2.0,1,4015.0
education,2003,USA,1.0,4000000.0,1.0,5.0,1,6570.0
games_video,1999,CHE,1.0,3652913.0,1.0,5.0,1,8030.0
public_relations,2006,GBR,1.0,3652913.0,2.0,2.0,1,5475.0
enterprise,2007,NOR,1.0,20000.0,1.0,1.0,1,5110.0
advertising,2008,POL,1.0,3652913.0,1.0,2.0,1,4745.0
web,2008,SGP,1.0,3652913.0,1.0,1.0,1,4745.0
software,2011,ARG,1.0,3652913.0,1.0,1.0,1,3650.0
advertising,2009,FRA,2.0,5694085.0,1.0,2.0,1,4380.0
public_relations,2011,DEU,1.0,3652913.0,1.0,2.0,1,3650.0
games_video,2011,USA,1.0,3652913.0,1.0,1.0,1,3650.0
web,2010,CHN,1.0,3652913.0,1.0,1.0,1,4015.0
finance,2011,POL,1.0,3652913.0,1.0,3.0,1,3650.0
software,2011,GBR,1.0,3652913.0,1.0,1.0,1,3650.0
ecommerce,2010,GBR,1.0,3652913.0,1.0,2.0,1,4015.0
mobile,2011,USA,1.0,1200000.0,1.0,3.0,1,3650.0
web,2011,USA,1.0,3652913.0,1.0,2.0,1,3650.0
education,2012,CHL,1.0,3652913.0,1.0,6.0,1,3285.0
software,2004,USA,1.0,3652913.0,1.0,3.0,1,6205.0
web,2010,USA,1.0,3652913.0,1.0,2.0,1,4015.0
consulting,2004,USA,1.0,3652913.0,1.0,3.0,1,6205.0
web,1993,USA,1.0,3652913.0,3.0,5.0,1,10220.0
games_video,2007,GBR,1.0,811057.0,1.0,4.0,1,5110.0
software,2006,USA,1.0,3652913.0,1.0,3.0,1,5475.0
consulting,2011,NZL,1.0,3652913.0,1.0,1.0,1,3650.0
web,1997,ESP,1.0,3652913.0,1.0,1.0,1,8760.0
search,2007,AUS,1.0,3652913.0,1.0,1.0,1,5110.0
advertising,2010,USA,1.0,3652913.0,1.0,3.0,1,4015.0
other,2010,IND,1.0,3652913.0,1.0,4.0,1,4015.0
software,2007,USA,1.0,3652913.0,1.0,1.0,1,5110.0
biotech,1999,USA,1.0,3652913.0,1.0,1.0,1,8030.0
mobile,2011,USA,1.0,3652913.0,3.0,2.0,1,3650.0
web,2010,USA,1.0,2454.0,1.0,3.0,1,4015.0
advertising,2007,USA,1.0,3652913.0,1.0,3.0,1,5110.0
other,2000,USA,1.0,3652913.0,1.0,5.0,1,7665.0
education,2011,CHL,1.0,3652913.0,1.0,1.0,1,3650.0
other,2008,GHA,1.0,3652913.0,1.0,1.0,1,4745.0
advertising,2006,USA,1.0,3652913.0,2.0,3.0,1,5475.0
software,2001,USA,1.0,7843200.0,2.0,3.0,1,7300.0
software,2008,USA,1.0,3652913.0,1.0,4.0,1,4745.0
software,2009,USA,1.0,3652913.0,1.0,1.0,1,4380.0
other,2006,USA,1.0,3652913.0,1.0,3.0,1,5475.0
software,2010,ZAF,1.0,100000.0,1.0,1.0,1,4015.0
search,2011,BRA,1.0,3652913.0,1.0,1.0,1,3650.0
enterprise,2011,CHL,1.0,3652913.0,1.0,1.0,1,3650.0
software,2000,GBR,3.0,2309232.0,1.0,1.0,1,7665.0
mobile,2011,GBR,1.0,3652913.0,1.0,2.0,1,3650.0
advertising,2007,USA,1.0,3652913.0,1.0,3.0,1,5110.0
consulting,2001,USA,1.0,3652913.0,1.0,5.0,1,7300.0
mobile,2010,USA,1.0,4000000.0,2.0,4.0,1,4015.0
advertising,2003,USA,1.0,3652913.0,1.0,1.0,1,6570.0
web,2007,GBR,1.0,3652913.0,1.0,4.0,1,5110.0
advertising,2006,GBR,1.0,3652913.0,1.0,3.0,1,5475.0
manufacturing,2006,USA,3.0,5200000.0,1.0,4.0,1,5475.0
mobile,2010,MYS,1.0,35000.0,1.0,2.0,1,4015.0
web,2011,MYS,1.0,165000.0,1.0,2.0,1,3650.0
mobile,2006,MYS,1.0,20000.0,1.0,1.0,1,5475.0
consulting,2004,CAN,1.0,3652913.0,1.0,1.0,1,6205.0
web,2008,IND,1.0,3652913.0,1.0,3.0,1,4745.0
web,2011,EST,1.0,3652913.0,1.0,2.0,1,3650.0
ecommerce,2008,GBR,1.0,3652913.0,3.0,1.0,1,4745.0
mobile,2005,GBR,1.0,3652913.0,1.0,1.0,1,5840.0
other,2005,NOR,1.0,3652913.0,1.0,1.0,1,5840.0
medical,2008,GBR,1.0,6321095.0,1.0,1.0,1,4745.0
games_video,1995,USA,1.0,3652913.0,1.0,2.0,1,9490.0
software,2008,ITA,1.0,3652913.0,1.0,1.0,1,4745.0
games_video,2005,USA,3.0,16030566.0,1.0,7.0,1,5840.0
web,2000,IND,1.0,3652913.0,1.0,1.0,1,7665.0
ecommerce,1980,USA,1.0,3652913.0,1.0,2.0,1,14965.0
ecommerce,2011,ISR,1.0,3652913.0,2.0,2.0,1,3650.0
advertising,1993,USA,1.0,3652913.0,1.0,2.0,1,10220.0
